Date,shares_outstanding
2026-03-04,177150000.0
2026-03-05,177150000.0
2026-03-06,175950000.0
2026-03-09,174200000.0
2026-03-10,169950000.0
2026-03-11,166650000.0
2026-03-12,164700000.0
2026-03-13,163850000.0
2026-03-16,161850000.0
2026-03-17,160500000.0
2026-03-18,160500000.0
2026-03-19,159800000.0
2026-03-20,157600000.0
2026-03-23,157600000.0
2026-03-24,155150000.0
2026-03-25,151950000.0
2026-03-26,151950000.0
2026-03-27,151500000.0
2026-03-30,151500000.0
2026-03-31,150250000.0
2026-04-01,146850000.0
2026-04-02,146850000.0
2026-04-03,144550000.0
2026-04-06,144550000.0
2026-04-07,140100000.0
2026-04-08,135450000.0
2026-04-09,134250000.0
2026-04-10,128900000.0
2026-04-13,128100000.0
2026-04-14,127650000.0
2026-04-15,127650000.0
2026-04-16,127650000.0
2026-04-17,127650000.0
2026-04-20,129900000.0
2026-04-21,129900000.0
2026-04-22,130500000.0
2026-04-23,131150000.0
2026-04-24,132250000.0
2026-04-27,132700000.0
2026-04-28,132700000.0
