Date,shares_outstanding
2026-03-04,281800000.0
2026-03-05,281950000.0
2026-03-06,281550000.0
2026-03-09,278000000.0
2026-03-10,271350000.0
2026-03-11,277100000.0
2026-03-12,281150000.0
2026-03-13,280700000.0
2026-03-16,277600000.0
2026-03-17,274200000.0
2026-03-18,289400000.0
2026-03-19,292700000.0
2026-03-20,288500000.0
2026-03-23,288700000.0
2026-03-24,285550000.0
2026-03-25,293900000.0
2026-03-26,290100000.0
2026-03-27,285500000.0
2026-03-30,283800000.0
2026-03-31,282800000.0
2026-04-01,290100000.0
2026-04-02,287750000.0
2026-04-03,286100000.0
2026-04-06,286100000.0
2026-04-07,281750000.0
2026-04-08,279700000.0
2026-04-09,279750000.0
2026-04-10,279850000.0
2026-04-13,280200000.0
2026-04-14,280350000.0
2026-04-15,280700000.0
2026-04-16,279900000.0
2026-04-17,280550000.0
2026-04-20,281150000.0
2026-04-21,281850000.0
2026-04-22,276900000.0
2026-04-23,277150000.0
