Date,shares_outstanding
2026-03-04,250600000.0
2026-03-05,250600000.0
2026-03-06,253800000.0
2026-03-09,253800000.0
2026-03-10,254600000.0
2026-03-11,254600000.0
2026-03-12,254600000.0
2026-03-13,254600000.0
2026-03-16,254600000.0
2026-03-17,254600000.0
2026-03-18,254600000.0
2026-03-19,254600000.0
2026-03-20,254600000.0
2026-03-23,254600000.0
2026-03-24,254600000.0
2026-03-25,254600000.0
2026-03-26,254600000.0
2026-03-27,254600000.0
2026-03-30,254600000.0
2026-03-31,254600000.0
2026-04-01,254600000.0
2026-04-02,254600000.0
2026-04-03,254600000.0
2026-04-06,254600000.0
2026-04-07,255700000.0
2026-04-08,256900000.0
2026-04-09,256900000.0
2026-04-10,256900000.0
2026-04-13,259550000.0
2026-04-14,265400000.0
2026-04-15,273550000.0
2026-04-16,278550000.0
2026-04-17,285300000.0
2026-04-20,285300000.0
2026-04-21,288700000.0
2026-04-22,290700000.0
2026-04-23,290700000.0
2026-04-24,291800000.0
2026-04-27,291800000.0
2026-04-28,291800000.0
2026-04-29,291800000.0
2026-04-30,291800000.0
2026-05-01,291800000.0
2026-05-04,291800000.0
2026-05-05,291800000.0
2026-05-06,291800000.0
2026-05-07,291800000.0
2026-05-08,291800000.0
2026-05-11,291800000.0
2026-05-12,291800000.0
2026-05-13,291800000.0
2026-05-14,291800000.0
2026-05-15,291800000.0
2026-05-18,200550000.0
2026-05-19,200550000.0
2026-05-20,200550000.0
2026-05-21,200550000.0
2026-05-22,200550000.0
2026-05-25,200550000.0
2026-05-26,200550000.0
2026-05-27,200550000.0
2026-05-28,200550000.0
2026-05-29,200550000.0
2026-06-01,200550000.0
2026-06-02,200550000.0
2026-06-03,200550000.0
2026-06-04,200550000.0
2026-06-05,200550000.0
2026-06-08,200550000.0
2026-06-09,200550000.0
2026-06-10,200550000.0
2026-06-11,200550000.0
2026-06-12,200550000.0
2026-06-15,200550000.0
2026-06-16,200550000.0
2026-06-17,200550000.0
2026-06-18,200550000.0
2026-06-19,200550000.0
2026-06-22,200550000.0
2026-06-23,200550000.0
2026-06-24,200550000.0
2026-06-25,200550000.0
2026-06-26,200550000.0
2026-06-29,200550000.0
2026-06-30,200550000.0
2026-07-01,200550000.0
2026-07-02,200550000.0
2026-07-03,200550000.0
2026-07-06,200550000.0
2026-07-07,200550000.0
2026-07-08,200550000.0
2026-07-09,200550000.0
2026-07-10,200550000.0
2026-07-13,200550000.0
2026-07-14,200550000.0
2026-07-15,200550000.0
2026-07-16,200550000.0
