Date,shares_outstanding
2026-03-04,38400000.0
2026-03-05,38400000.0
2026-03-06,38400000.0
2026-03-09,38400000.0
2026-03-10,38400000.0
2026-03-11,38400000.0
2026-03-12,38400000.0
2026-03-13,38400000.0
2026-03-16,38100000.0
2026-03-17,38100000.0
2026-03-18,38100000.0
2026-03-19,38100000.0
2026-03-20,38100000.0
2026-03-23,38100000.0
2026-03-24,38100000.0
2026-03-25,38100000.0
2026-03-26,38100000.0
2026-03-27,38050000.0
2026-03-30,38050000.0
2026-03-31,38050000.0
2026-04-01,38100000.0
2026-04-02,38150000.0
2026-04-03,38150000.0
2026-04-06,38150000.0
2026-04-07,38150000.0
2026-04-08,38150000.0
2026-04-09,38150000.0
2026-04-10,38200000.0
2026-04-13,38200000.0
2026-04-14,38200000.0
2026-04-15,38200000.0
2026-04-16,38200000.0
2026-04-17,38100000.0
2026-04-20,38100000.0
2026-04-21,38100000.0
2026-04-22,38050000.0
2026-04-23,38100000.0
2026-04-24,38100000.0
2026-04-27,38100000.0
2026-04-28,37850000.0
2026-04-29,37750000.0
2026-04-30,37600000.0
2026-05-01,37700000.0
2026-05-04,37500000.0
2026-05-05,37500000.0
2026-05-06,37500000.0
2026-05-07,37500000.0
2026-05-08,37500000.0
2026-05-11,37500000.0
2026-05-12,37500000.0
2026-05-13,37400000.0
2026-05-14,37400000.0
2026-05-15,37400000.0
2026-05-18,75600000.0
2026-05-19,75600000.0
2026-05-20,75600000.0
2026-05-21,75600000.0
2026-05-22,75600000.0
2026-05-25,75600000.0
2026-05-26,75600000.0
2026-05-27,75600000.0
2026-05-28,75600000.0
2026-05-29,75600000.0
2026-06-01,75600000.0
2026-06-02,75600000.0
2026-06-03,75600000.0
2026-06-04,75600000.0
2026-06-05,75600000.0
2026-06-08,75600000.0
2026-06-09,75600000.0
2026-06-10,75600000.0
2026-06-11,75600000.0
2026-06-12,75600000.0
2026-06-15,75600000.0
2026-06-16,75600000.0
2026-06-17,75600000.0
2026-06-18,75600000.0
2026-06-19,75600000.0
2026-06-22,75600000.0
