Date,shares_outstanding
2026-03-04,208500000.0
2026-03-05,206000000.0
2026-03-06,206900000.0
2026-03-09,195200000.0
2026-03-10,195300000.0
2026-03-11,202800000.0
2026-03-12,205500000.0
2026-03-13,198300000.0
2026-03-16,191000000.0
2026-03-17,193800000.0
2026-03-18,198300000.0
2026-03-19,199700000.0
2026-03-20,198200000.0
2026-03-23,195400000.0
2026-03-24,199400000.0
2026-03-25,202500000.0
2026-03-26,211300000.0
2026-03-27,211800000.0
2026-03-30,207500000.0
2026-03-31,201400000.0
2026-04-01,206400000.0
2026-04-02,206200000.0
2026-04-03,208700000.0
2026-04-06,208700000.0
2026-04-07,209600000.0
2026-04-08,210100000.0
2026-04-09,204000000.0
2026-04-10,209700000.0
2026-04-13,212800000.0
2026-04-14,210700000.0
2026-04-15,210400000.0
2026-04-16,213000000.0
2026-04-17,218400000.0
2026-04-20,217700000.0
2026-04-21,209000000.0
2026-04-22,205300000.0
2026-04-23,211200000.0
2026-04-24,212200000.0
2026-04-27,216500000.0
2026-04-28,209700000.0
2026-04-29,211500000.0
2026-04-30,213800000.0
2026-05-01,211300000.0
2026-05-04,210300000.0
2026-05-05,209300000.0
2026-05-06,206400000.0
2026-05-07,206900000.0
2026-05-08,210400000.0
2026-05-11,209900000.0
2026-05-12,207300000.0
2026-05-13,207700000.0
2026-05-14,209500000.0
2026-05-15,211600000.0
2026-05-18,195600000.0
2026-05-19,195600000.0
2026-05-20,195600000.0
2026-05-21,195600000.0
2026-05-22,195600000.0
2026-05-25,195600000.0
2026-05-26,195600000.0
2026-05-27,195600000.0
2026-05-28,195600000.0
2026-05-29,195600000.0
2026-06-01,195600000.0
2026-06-02,195600000.0
2026-06-03,195600000.0
2026-06-04,195600000.0
2026-06-05,195600000.0
2026-06-08,195600000.0
2026-06-09,195600000.0
2026-06-10,195600000.0
2026-06-11,195600000.0
2026-06-12,195600000.0
2026-06-15,195600000.0
2026-06-16,195600000.0
2026-06-17,195600000.0
2026-06-18,195600000.0
2026-06-19,195600000.0
