Date,shares_outstanding
2026-03-04,509600000.0
2026-03-05,505300000.0
2026-03-06,506000000.0
2026-03-09,511400000.0
2026-03-10,509400000.0
2026-03-11,507200000.0
2026-03-12,504200000.0
2026-03-13,506800000.0
2026-03-16,506300000.0
2026-03-17,501200000.0
2026-03-18,500800000.0
2026-03-19,499500000.0
2026-03-20,502000000.0
2026-03-23,495800000.0
2026-03-24,502200000.0
2026-03-25,492600000.0
2026-03-26,492900000.0
2026-03-27,492200000.0
2026-03-30,487300000.0
2026-03-31,491100000.0
2026-04-01,491700000.0
2026-04-02,483300000.0
2026-04-03,487300000.0
2026-04-06,487300000.0
2026-04-07,484700000.0
