Date,shares_outstanding
2026-03-04,171000000.0
2026-03-05,175000000.0
2026-03-06,181100000.0
2026-03-09,183800000.0
2026-03-10,181700000.0
2026-03-11,182800000.0
2026-03-12,181300000.0
2026-03-13,178800000.0
2026-03-16,167000000.0
2026-03-17,157500000.0
2026-03-18,155800000.0
2026-03-19,155300000.0
2026-03-20,154300000.0
2026-03-23,153600000.0
2026-03-24,153600000.0
2026-03-25,155000000.0
2026-03-26,154300000.0
2026-03-27,154200000.0
2026-03-30,153400000.0
2026-03-31,152500000.0
2026-04-01,150900000.0
2026-04-02,147700000.0
2026-04-03,147700000.0
2026-04-06,147700000.0
2026-04-07,147700000.0
2026-04-08,147700000.0
2026-04-09,147100000.0
2026-04-10,149600000.0
2026-04-13,150400000.0
2026-04-14,150900000.0
2026-04-15,150700000.0
2026-04-16,151200000.0
2026-04-17,151200000.0
2026-04-20,152600000.0
2026-04-21,153500000.0
2026-04-22,153500000.0
