Date,shares_outstanding
2026-03-04,219600000.0
2026-03-05,222900000.0
2026-03-06,223800000.0
2026-03-09,221100000.0
2026-03-10,223800000.0
2026-03-11,224700000.0
2026-03-12,227400000.0
2026-03-13,226950000.0
2026-03-16,227850000.0
2026-03-17,228450000.0
2026-03-18,228450000.0
2026-03-19,229800000.0
2026-03-20,229800000.0
2026-03-23,229800000.0
2026-03-24,229800000.0
2026-03-25,226350000.0
2026-03-26,225150000.0
2026-03-27,224850000.0
2026-03-30,220800000.0
2026-03-31,214200000.0
2026-04-01,217200000.0
2026-04-02,220200000.0
2026-04-03,220200000.0
2026-04-06,220200000.0
2026-04-07,220200000.0
2026-04-08,220200000.0
2026-04-09,220200000.0
2026-04-10,225300000.0
2026-04-13,224400000.0
2026-04-14,224550000.0
2026-04-15,224550000.0
2026-04-16,225900000.0
2026-04-17,229800000.0
2026-04-20,230850000.0
2026-04-21,231750000.0
2026-04-22,231750000.0
2026-04-23,231750000.0
2026-04-24,233700000.0
2026-04-27,233700000.0
2026-04-28,233700000.0
2026-04-29,234450000.0
2026-04-30,234450000.0
2026-05-01,234450000.0
2026-05-04,231600000.0
2026-05-05,227400000.0
2026-05-06,227400000.0
2026-05-07,227400000.0
2026-05-08,227400000.0
2026-05-11,224550000.0
2026-05-12,231150000.0
2026-05-13,231900000.0
2026-05-14,231900000.0
2026-05-15,231900000.0
2026-05-18,227850000.0
2026-05-19,227850000.0
2026-05-20,227850000.0
2026-05-21,227850000.0
2026-05-22,227850000.0
2026-05-25,227850000.0
2026-05-26,227850000.0
2026-05-27,227850000.0
2026-05-28,227850000.0
2026-05-29,227850000.0
2026-06-01,227850000.0
2026-06-02,227850000.0
2026-06-03,227850000.0
2026-06-04,227850000.0
2026-06-05,227850000.0
2026-06-08,227850000.0
2026-06-09,227850000.0
2026-06-10,227850000.0
2026-06-11,227850000.0
2026-06-12,227850000.0
2026-06-15,227850000.0
2026-06-16,227850000.0
2026-06-17,227850000.0
2026-06-18,227850000.0
2026-06-19,227850000.0
2026-06-22,227850000.0
2026-06-23,227850000.0
2026-06-24,227850000.0
2026-06-25,227850000.0
2026-06-26,227850000.0
