Date,shares_outstanding
2026-03-04,483750000.0
2026-03-05,483750000.0
2026-03-06,483750000.0
2026-03-09,483750000.0
2026-03-10,483750000.0
2026-03-11,483750000.0
2026-03-12,483750000.0
2026-03-13,483750000.0
2026-03-16,483750000.0
2026-03-17,481050000.0
2026-03-18,468900000.0
2026-03-19,463500000.0
2026-03-20,463500000.0
2026-03-23,463500000.0
2026-03-24,463500000.0
2026-03-25,445500000.0
2026-03-26,444150000.0
2026-03-27,442800000.0
2026-03-30,442800000.0
2026-03-31,442800000.0
2026-04-01,442800000.0
2026-04-02,442800000.0
2026-04-03,442800000.0
2026-04-06,442800000.0
2026-04-07,442800000.0
2026-04-08,442800000.0
2026-04-09,442800000.0
2026-04-10,442800000.0
2026-04-13,442800000.0
2026-04-14,442800000.0
2026-04-15,442800000.0
2026-04-16,442800000.0
2026-04-17,442800000.0
2026-04-20,442800000.0
2026-04-21,442800000.0
2026-04-22,442800000.0
2026-04-23,442800000.0
2026-04-24,442800000.0
2026-04-27,442800000.0
2026-04-28,442800000.0
2026-04-29,442800000.0
2026-04-30,442800000.0
2026-05-01,442800000.0
2026-05-04,442800000.0
2026-05-05,442800000.0
2026-05-06,442800000.0
2026-05-07,442800000.0
2026-05-08,442800000.0
2026-05-11,442800000.0
2026-05-12,442800000.0
2026-05-13,442800000.0
2026-05-14,442800000.0
2026-05-15,442800000.0
2026-05-18,752400000.0
2026-05-19,752400000.0
2026-05-20,752400000.0
2026-05-21,752400000.0
2026-05-22,752400000.0
2026-05-25,752400000.0
2026-05-26,752400000.0
2026-05-27,752400000.0
2026-05-28,752400000.0
2026-05-29,752400000.0
2026-06-01,752400000.0
2026-06-02,752400000.0
2026-06-03,752400000.0
2026-06-04,752400000.0
2026-06-05,752400000.0
