Date,Open,High,Low,Close,Volume
2007-04-11,32.33513641357422,32.34753157485029,32.33513641357422,32.33513641357422,1900
2007-04-12,32.35681915283203,32.35681915283203,32.33512821713104,32.35681915283203,6100
2007-04-13,32.347517560025935,32.37850426772323,32.29793930053711,32.29793930053711,3400
2007-04-16,32.31032948009707,32.31032948009707,32.27314637952018,32.28554153442383,7600
2007-04-17,32.27314561381676,32.350613557026044,32.27004623413086,32.27004623413086,28100
2007-04-18,32.28556048801143,32.3103484482367,32.27316532583106,32.27936172485352,6300
2007-04-19,32.28864139434067,32.40329481419866,32.24525953042343,32.390899658203125,47500
2007-04-20,32.394013023842874,32.394013023842874,32.36612331977841,32.37232208251953,4900
2007-04-23,32.40949121012929,32.43118450622218,32.366109346212056,32.390899658203125,1700
2007-04-24,32.40948952538694,32.632597593440195,32.35681188824496,32.61400604248047,398500
2007-04-25,32.62330081815148,32.6635856628418,32.62330081815148,32.6635856628418,16300
2007-04-26,32.669784061681526,32.72246170043945,32.626402198688616,32.72246170043945,48200
2007-04-27,32.69457437314439,32.72246170043945,32.69457437314439,32.72246170043945,8300
2007-04-30,32.71006851268634,32.73175944548782,32.63879931811051,32.725563049316406,15500
2007-05-01,32.71098766751177,32.7607062766589,32.71098766751177,32.72963333129883,8600
2007-05-02,32.73581780649258,32.74824744770532,32.68920724462272,32.7171745300293,4700
2007-05-03,32.74203860562664,32.77621953128757,32.68921203006119,32.72028732299805,17200
2007-05-04,32.73582186683488,32.76378915571035,32.692319302550345,32.76068115234375,4600
2007-05-07,32.726503064545675,32.75757598876953,32.72028942798577,32.75757598876953,4200
2007-05-08,32.79485838280928,32.797966385825745,32.766891097084404,32.78242874145508,16100
2007-05-09,32.810400814478335,32.813508818172856,32.676787474872505,32.695430755615234,9400
2007-05-10,32.84456473000239,32.87874564080035,32.78552691466036,32.81349182128906,17400
2007-05-11,32.82592968519097,32.869432242433696,32.80107040370611,32.83214569091797,12200
2007-05-14,32.841485433727485,32.8445910675915,32.79798285250256,32.82905578613281,11600
2007-05-15,32.8445899793624,32.91605985798557,32.804195404052734,32.804195404052734,39400
2007-05-16,32.88498356698939,32.89430520874635,32.88187556283289,32.891197204589844,78100
2007-05-17,32.90362155394447,32.91605119785711,32.84147570509344,32.88187026977539,14500
2007-05-18,32.92227013401723,32.92227013401723,32.891197204589844,32.891197204589844,5200
2007-05-21,32.91916609492126,32.925379732822655,32.89119879758331,32.922271728515625,14600
2007-05-22,32.96266200940149,32.96576764236809,32.85390558776574,32.92537307739258,10200
2007-05-23,32.91291562593307,32.971955792387284,32.844553827030325,32.90048599243164,22500
2007-05-24,32.950211281071034,32.950211281071034,32.891171102513866,32.90981674194336,17100
2007-05-25,32.928478867528426,33.08384585105308,32.875654662100935,32.956443786621094,7400
2007-05-29,32.8445939102077,32.850809919899454,32.80730733490949,32.825950622558594,4900
2007-05-30,32.897380362088924,32.91913162803887,32.86009146158465,32.90048599243164,4300
2007-05-31,32.90361897544578,32.90361897544578,32.82904348852623,32.847686767578125,6200
2007-06-01,32.843299865722656,32.84954813649351,32.79330416385074,32.843299865722656,13500
2007-06-04,32.8714485168457,32.877699176839926,32.81520449653919,32.8714485168457,21800
2007-06-05,32.87456686654284,32.87456686654284,32.8245735168457,32.8245735168457,4500
2007-06-06,32.80891813118516,32.82766532154681,32.77142136653633,32.78392028808594,74600
2007-06-07,32.72767343746803,32.72767343746803,32.55894158736527,32.63080978393555,12100
2007-06-08,32.562070707733184,32.58081789862067,32.471455311901025,32.5433235168457,17800
2007-06-11,32.46522433047307,32.51834298889008,32.371483558268,32.4745979309082,2900
2007-06-12,32.424586079457924,32.427711406023164,32.2058608984048,32.30897521972656,67300
2007-06-13,32.38086006384843,32.4371040554322,32.14338755176327,32.365238189697266,24600
2007-06-14,32.290233055155994,32.39022445678711,32.233991467627824,32.39022445678711,18200
2007-06-15,32.34024236210296,32.39648635722023,32.34024236210296,32.38398742675781,13500
2007-06-18,32.46836811611329,32.46836811611329,32.309009666343805,32.40274810791016,14600
2007-06-19,32.446482319922815,32.446482319922815,32.29649991009533,32.443359375,19600
2007-06-20,32.44648263834048,32.44648263834048,32.15589141845703,32.15589141845703,16900
2007-06-21,32.18401722481991,32.31837778043598,32.18401722481991,32.21526336669922,13900
2007-06-22,32.252727378065664,32.29647240900954,32.133988822139095,32.27772521972656,27800
2007-06-25,32.2777449095969,32.29024145412502,32.07464149407564,32.09026336669922,29000
2007-06-26,32.16526616060455,32.24338269790236,32.09027256837083,32.18401336669922,43600
2007-06-27,32.11838833265931,32.12151366092806,32.02152461167079,32.07151794433594,6800
2007-06-28,32.04339167381313,32.07151247165243,31.849661880967187,31.90278053283692,9500
2007-06-29,31.902814167365605,32.02780118536259,31.812198638916016,31.812198638916016,14600
2007-07-02,31.96714400687294,32.14631080013836,31.87284708301983,32.06144332885742,19600
2007-07-03,32.03001500252876,32.03001500252876,31.93571566882201,32.00172424316406,11700
2007-07-05,32.014275789512915,32.017419737991695,31.740812225109945,31.88540267944336,14600
2007-07-06,31.882274148651987,31.99543236730897,31.78168933186036,31.919994354248047,8200
2007-07-09,31.88226830419497,32.05514955048807,31.86969490463449,32.01742935180664,8400
2007-07-10,31.89795944144288,31.98282682107397,31.747081168830192,31.93253326416016,19700
2007-07-11,31.94201449378595,31.945156047353983,31.608825159372667,31.69369506835937,17200
2007-07-12,31.747115458098268,31.78797721862793,31.655960086333906,31.78797721862793,8300
2007-07-13,31.841412391187987,31.923135906115988,31.74711307626344,31.919994354248047,5200
2007-07-16,31.863383220596823,32.00168570585227,31.828806999750764,31.93253326416016,17100
2007-07-17,31.967141465664824,31.97028541564941,31.8162654402411,31.97028541564941,10600
2007-07-18,31.95768718634806,31.95768718634806,31.68422370341844,31.73137092590332,15600
2007-07-19,31.7565312448435,31.76596069335937,31.7565312448435,31.76596069335937,6400
2007-07-20,31.740813703744205,31.84768397570088,31.618223688661327,31.684234619140625,18600
2007-07-23,31.65279957767284,31.655943526263165,31.58993499464698,31.61508178710937,9000
2007-07-24,31.58994320869446,31.59308715810228,31.38877361294726,31.43277931213379,44900
2007-07-25,31.40135446218549,31.40135446218549,31.017874079898675,31.13417625427246,28100
2007-07-26,30.961281331203924,31.275609060454727,30.29804963063432,30.6941032409668,43200
