Date,Open,High,Low,Close,Volume
2014-11-12,23.86394742229945,24.045675562557754,23.7204753414426,24.007417678833008,134000
2014-11-13,24.14132485908069,24.34218469308465,24.016984447038947,24.09350204467773,278400
2014-11-14,24.13175220687001,24.65781211853028,23.96915213589471,24.65781211853028,477000
2014-11-17,24.50478142647127,24.51434452857029,23.96915649276691,24.01698112487793,330700
2014-11-18,24.14131936952928,24.29435453000784,23.96915435791016,23.96915435791016,152200
2014-11-19,24.074367831020435,24.074367831020435,23.377100596229383,23.5578727722168,153700
2014-11-20,23.529179666439497,23.94046236075709,23.43353223124328,23.81612014770508,253800
2014-11-21,24.30392080818623,24.42826302319707,23.854380227302173,23.911767959594727,105900
2014-11-24,24.09350204873232,24.32305484168732,24.074372193238545,24.31348991394043,121700
2014-11-25,24.49521608778412,24.61955648053372,24.39956864949504,24.53347396850586,149600
2014-11-26,24.73433974376162,24.85868016653477,24.60904155110488,24.8012924194336,171800
2014-11-28,25.30821178923817,25.30821178923817,24.72476595020116,24.72954750061035,316100
2014-12-01,24.81084829951938,24.81084829951938,24.20922855911801,24.332612991333008,138200
2014-12-02,24.409124898421137,24.8041472733975,24.30391257127335,24.724760055541992,102900
2014-12-03,24.86824246780945,24.96388991908878,24.65781953445364,24.82998275756836,126600
2014-12-04,24.84911523796397,24.922763181203145,24.69799374492204,24.8012924194336,80400
2014-12-05,24.858672996724525,25.15517839960585,24.858672996724525,25.030838012695312,113300
2014-12-08,25.08822405042833,25.231694279282383,24.42826063283512,24.60042381286621,135200
2014-12-09,24.39000314480641,24.89693327869008,24.045673104861045,24.782155990600582,127600
2014-12-10,24.858674596720288,25.03083962377225,24.488521248017108,24.54303932189941,125100
2014-12-11,24.676950172336856,25.04997508930348,24.676950172336856,24.8012924194336,119200
2014-12-12,24.60998930323353,24.72954813407821,24.351741790771484,24.351741790771484,131200
2014-12-15,24.581291968487,24.686502480331377,23.911761905406543,24.12218475341797,74900
2014-12-16,23.95959144799454,24.26566361902367,23.777863319839856,23.7969913482666,83600
2014-12-17,23.80655796010148,24.37087588591444,23.80655796010148,24.361310958862305,118900
2014-12-18,24.97344891144729,25.23169459690628,24.682681020553908,25.17430686950684,198300
2014-12-19,25.3464726486634,25.729060550193715,25.18387256247264,25.67167282104492,419300
2014-12-22,26.006441435653265,26.03513439194608,25.64298151180936,25.796016693115234,508200
2014-12-23,25.96818429865552,26.01600893774963,25.80558417438246,25.85340881347656,436500
2014-12-24,25.92992415289626,26.0638294820481,25.882099517968253,25.977746963500977,225800
2014-12-26,26.149908493486656,26.301987710811943,25.93948560099427,26.159473419189453,301600
2014-12-29,26.26468571196816,26.41772270913727,25.63341516789782,25.719497680664062,381200
2014-12-30,25.72906112703652,25.74819097862267,25.269955634907035,25.422990798950195,445800
2014-12-31,25.68123837238298,25.68123837238298,25.3369083404541,25.3369083404541,292400
2015-01-02,25.480377074155754,25.60471927804133,24.772589024798425,25.040401458740234,285100
2015-01-05,24.944758314556022,25.15518123315457,24.82041791363944,24.96388816833496,240800
2015-01-06,25.107357358359884,25.14561706429537,24.275226997494897,24.59086227416992,217500
2015-01-07,24.916057120675035,25.010748595481605,24.7343290295204,24.99257469177246,245800
2015-01-08,25.34647406891452,25.537768942560096,25.148483929421023,25.442121505737305,231200
2015-01-09,25.489948471482705,25.517687309038426,25.11118609228874,25.2317008972168,139800
2015-01-12,25.39429478389257,25.39429478389257,24.86823666117385,25.30821228027344,320000
2015-01-13,25.585591039216496,25.8247087124802,24.948581207371955,25.16474342346192,554400
2015-01-14,25.021275137063007,25.203005093736337,24.868239960177004,25.078662872314453,197800
2015-01-15,25.26995896125899,25.26995896125899,24.361310958862305,24.361310958862305,252300
2015-01-16,24.39000496497521,24.93519301935941,24.39000496497521,24.868240356445312,203800
2015-01-20,25.107355594868658,25.183873177042003,24.68650798075373,25.030838012695312,491800
2015-01-21,25.126487905676747,25.126487905676747,24.791722766783028,24.868240356445312,198000
2015-01-22,24.96388859467569,25.0499711138278,24.49521811502716,24.97345352172852,292900
2015-01-23,25.059529942769263,25.327340537784742,24.916057896213424,25.18387031555176,157400
2015-01-26,25.29865468398173,25.29865468398173,24.916064884950224,25.126489639282227,172700
2015-01-27,24.93518712734004,25.030834547897857,24.54303434494352,24.820411682128903,208800
2015-01-28,25.05953603908188,25.05953603908188,24.361310958862305,24.361310958862305,558700
2015-01-29,24.390001678615786,24.552601762779474,24.150884015099944,24.48564910888672,170300
2015-01-30,24.370871994112942,24.609033714006028,24.103061376713185,24.114538192749023,106900
2015-02-02,24.294355245121647,24.33261494852898,23.768297093532272,24.246532440185547,280800
2015-02-03,24.30392177694652,24.62912198010541,24.301052116569032,24.59086227416992,114600
2015-02-04,24.58129621458345,24.820413874941952,24.51434173725177,24.60998916625977,83900
2015-02-05,24.82997662121734,25.30821193510201,24.772588894361604,25.29864883422852,333200
2015-02-06,25.39429366026805,25.422988434979096,24.992575935927952,25.10735321044922,435400
2015-02-09,25.049973094690287,25.107360837221947,24.82042030024021,24.88737297058105,185400
2015-02-10,25.09779104124975,25.46125093020544,24.992578680079983,25.43255615234375,238500
2015-02-11,25.48994800424901,25.671677978103894,25.422995336071786,25.61429023742676,358100
2015-02-12,25.99687385201687,26.30294418334961,25.920356269183685,26.30294418334961,540000
2015-02-13,26.86725861458396,27.08724640913476,26.66639884505982,27.01072883605957,1397800
2015-02-17,27.23071353265769,27.46026622576776,27.06811348033107,27.37418556213379,1787000
2015-02-18,27.517663636773555,27.536793489417462,27.21159329176364,27.33593368530273,869100
2015-02-19,27.41244685507977,27.70895222599714,27.11689742934364,27.67069435119629,841600
2015-02-20,27.699389232016305,28.29240183951016,27.60374362618571,28.2828369140625,1191900
